pathway,ES_Py,NES_Py,Pvalue_Py,NES_GSEApy,NES_Blitz,ES_R,NES_R,Pvalue_R,log10P_Py,log10P_R
NEG_PATH_2,-0.6849316988075363,-2.6108103704942605,5.075495585670484e-11,-2.6285820918611242,-5.695199833536965,-0.684931698807536,-2.62435530081175,1.3981438696228401e-10,10.29452154560907,9.85444813719656
NEG_PATH_3,-0.7280243984310437,-2.608798026736145,5.193613061570984e-10,-2.6782301641624615,-5.113003186974245,-0.728024398431044,-2.65059888770347,4.72265401794494e-10,9.284530409632461,9.325813869710442
NEG_PATH_4,-0.6727432473401824,-2.5234163477545835,9.239905334487502e-09,-2.4224692860797776,-5.212673808047387,-0.672743247340183,-2.50888298989432,4.43108417432887e-09,8.034332478230143,8.353489999889552
POS_PATH_5,0.6782520595705849,2.43437489605223,7.550422524054384e-08,2.419660186636016,4.690934914981074,0.678252059570585,2.45813123140507,4.05211226664273e-08,7.122028744432952,7.392318530708595
POS_PATH_7,0.6631396943108545,2.3963273555178484,1.3028180041505603e-07,2.486271739572466,4.6778383010745515,0.663139694310855,2.42162868365363,8.07922043369503e-08,6.8851162483807204,7.092630542403377
POS_PATH_2,0.6819659384827744,2.451151118258958,1.4064512544807183e-07,2.4396586167167413,4.4081870969387005,0.681965938482774,2.43662904800323,6.44990065432016e-08,6.851875315242041,7.190446974607031
POS_PATH_0,0.7309838148631926,2.357632185374115,3.5999391865937614e-07,2.314261653452077,4.200956153204018,0.730983814863193,2.3805398510102,5.05406290282281e-07,6.443704835663222,6.296359357157133
NEG_PATH_1,-0.6228004308205519,-2.272607017153601,1.034897128593843e-06,-2.302604945393336,-4.440923999031967,-0.622800430820552,-2.28047196281833,2.74144655155107e-06,5.985102818037444,5.562020216894385
NEG_PATH_6,-0.6120840560389069,-2.2713264766347163,1.2752457863457037e-06,-2.3357285082468118,-4.516527520111259,-0.612084056038907,-2.27119645922678,1.856024499448e-06,5.8944061027858625,5.731416295409801
NEG_PATH_9,-0.5523344599771058,-2.106972699598539,1.4503516576157543e-05,-2.079452581828585,-4.275542196769254,-0.552334459977106,-2.11347163225632,3.66643656096098e-05,4.8385266843542265,4.4357558250452795
NEG_PATH_5,-0.6121210625864414,-2.125099298042555,1.733347103004194e-05,-2.149241499775537,-3.6573312399189635,-0.612121062586441,-2.14689609901495,6.0691143699333e-05,4.761114461045448,4.216874678333735
POS_PATH_8,0.6094002121119573,2.1353331897909396,2.031602106722404e-05,2.111651570153402,3.6225478241528153,0.609400212111957,2.16985293901379,7.45831031376562e-05,4.692161345490299,4.127359551150036
POS_PATH_3,0.5680050767919895,2.077557284845949,5.6882111723715235e-05,2.116314158963755,3.980629725091092,0.56800507679199,2.08642038707399,6.73963105881726e-05,4.245024288984813,4.171363876981797
POS_PATH_6,0.5690615704212485,2.0433147415960646,7.006211322067368e-05,1.9702161418325956,3.61809996550966,0.569061570421249,2.04973248026098,0.0001311695917022,4.154516767585887,3.88216683330315
POS_PATH_1,0.6089034139013011,2.0193377588829002,0.00016323583472406105,1.9988071022618075,3.3562835041577883,0.608903413901301,2.05966053247665,0.0001582667997202,3.7871844956154734,3.8006101793293308
NEG_PATH_8,-0.6257728131688888,-2.0620830263428296,0.00017139762646026412,-2.116730238022341,-3.468530861022278,-0.625772813168889,-2.10542060617661,0.0001911799131617,3.765995196545535,3.718557739995594
POS_PATH_9,0.5768181463270262,2.073224430456305,0.00019044180717807122,2.1100028378288296,3.50837434853742,0.576818146327027,2.06094142162396,5.19207433978146e-05,3.72023770598486,4.28465909796313
NEG_PATH_7,-0.5805140374098015,-1.9458094954879135,0.0006402032872049779,-1.9577745869113752,-3.1283537159095083,-0.580514037409802,-1.95631490295285,0.0008090003963379,3.1936821002460607,3.092051265622189
NEG_PATH_0,-0.5098275315645354,-1.7699670795065388,0.002468999809265031,-1.7811594104792232,-2.75193953272922,-0.509827531564536,-1.78812134655431,0.0036587719178326,2.607478943618148,2.4366646629140813
NULL_PATH_46,-0.4750256373991467,-1.7333748396076714,0.002636389626842321,-1.7254090770529718,-2.9764648846455755,-0.475025637399147,-1.73937363254777,0.0055589634206054,2.57899040580671,2.2550061837202984
NULL_PATH_62,-0.3520213889979173,-1.5591054290802966,0.008056640625,-1.536792617177819,-3.386507517281881,-0.352021388997917,-1.56083136122653,0.0044140970099437,2.093846008089887,2.3551581264484294
NULL_PATH_61,-0.3056157133570487,-1.425555562969591,0.009519177690133059,-1.4326111035018767,-2.7995104185532,-0.305615713357049,-1.42576432414976,0.0071031051151483,2.0214005663279426,2.148551758382839
NULL_PATH_58,0.363372064138846,1.4432527331775893,0.01611328125,1.4609034304100443,2.6870327681750856,0.363372064138846,1.45012607314629,0.0229115005200782,1.7928160124259056,1.6399464670633317
POS_PATH_4,0.5119353662216385,1.7795282189827577,0.01611328125,1.7608068672566322,2.7082799323246465,0.511935366221639,1.81297265890912,0.0046204598024554,1.7928160124259056,2.3353148037224862
NULL_PATH_59,0.27721294486541054,1.3082239318826092,0.0322265625,1.2921242185796276,2.1956383596268663,0.277212944865411,1.3261166400519,0.0269861279103569,1.4917860167619246,1.5688594254769526
NULL_PATH_70,-0.2704078073147803,-1.2521452605901984,0.064453125,-1.2238499366008668,-1.9783121200719114,-0.27040780731478,-1.24949132208167,0.0755813953488372,1.1907560210979433,1.1215850946007122
NULL_PATH_48,-0.28373606598257106,-1.2306251773280692,0.072509765625,-1.242476395276575,-2.1162385739993446,-0.283736065982571,-1.2374734248848,0.0919324577861163,1.139603498650562,1.0365311289980588
NULL_PATH_50,-0.2862240834500729,-1.3034765352807383,0.08056640625,-1.303714928160585,-1.9375193902528758,-0.286224083450073,-1.29442672258276,0.0820945594900925,1.0938460080898869,1.0856856231695013
NULL_PATH_30,-0.25531608458056415,-1.207834613606359,0.08056640625,-1.2048003828315963,-1.5975656832420386,-0.255316084580564,-1.21183111078527,0.0742857142857143,1.0938460080898869,1.1290946963794575
NULL_PATH_34,-0.2522094766733139,-1.168431136236718,0.08056640625,-1.186075264065794,-1.4476279751201468,-0.252209476673314,-1.17856018705574,0.106666666666667,1.0938460080898869,0.9719712763997551
NULL_PATH_65,-0.2587753580774537,-1.2141151329630964,0.12890625,-1.2493298010763825,-1.560670817977631,-0.258775358077454,-1.22001455011654,0.0783938814531549,0.8897260254339621,1.1057178321475387
NULL_PATH_35,-0.3328436925432483,-1.2975598054112145,0.136962890625,-1.3294865435871934,-2.032950003796382,-0.332843692543248,-1.30542979575074,0.0791505791505792,0.863397086711613,1.1015459030254973
NULL_PATH_11,0.26806359937669183,1.1422387079365235,0.153076171875,1.1361590933768595,1.3703909250542101,0.268063599376692,1.1392476248703,0.184486373165618,0.8150924071370579,0.7340357068899463
NULL_PATH_75,0.28243683856320645,1.1452938526868994,0.169189453125,1.166860843614622,1.6155204965097425,0.282436838563206,1.15366671634969,0.189300411522634,0.7716267133559676,0.7228484419167376
NULL_PATH_38,-0.25240151305780695,-1.1492046221210692,0.17724609375,-1.1841362159652062,-1.33646188970057,-0.252401513057807,-1.15734139476188,0.149338374291115,0.7514233272676806,0.8258285807447453
NULL_PATH_31,-0.23381785839553684,-1.1000737897462158,0.201416015625,-1.1178698023384364,-1.2902192262936598,-0.233817858395537,-1.11856267679719,0.201923076923077,0.6959059994178493,0.6948140445648608
NULL_PATH_60,0.3354749372602087,1.2040829865492784,0.22468094275362252,1.2438040721823782,1.3035253142826462,0.335474937260209,1.21583327171181,0.167002012072435,0.6484337625071421,0.7772782963572572
NULL_PATH_77,-0.23297000308050936,-1.0787864748200964,0.2255859375,-1.0766909034886276,-1.0993211360624926,-0.232970003080509,-1.07649997256024,0.292635658914729,0.6466879767476676,0.5336727543340415
NULL_PATH_44,0.2480699392900129,1.1250049130245,0.233642578125,1.1162699944270962,1.2106702100891011,0.248069939290013,1.14261602028497,0.162839248434238,0.6314480101909308,0.7882409107240829
NULL_PATH_66,-0.24619414681818463,-1.1564118112182653,0.249755859375,-1.145301116781382,-1.241714886810573,-0.246194146818185,-1.15995372944255,0.139312977099237,0.6024843142556142,0.8560084268632696
NULL_PATH_29,-0.2609697669778495,-1.1026137163097296,0.27392578125,-1.0675039275387534,-0.8372583874437558,-0.26096976697785,-1.10209954707134,0.25095785440613,0.5623670910476317,0.6003992073464983
NULL_PATH_2,-0.3581545338018491,-1.1376067555372018,0.298095703125,-1.1156486355252793,-1.157202132704879,-0.358154533801849,-1.15245643025394,0.264887063655031,0.5256442840228919,0.576939250915385
NULL_PATH_71,-0.3522174213787976,-1.1187486968965594,0.314208984375,-1.1282809261498534,-1.1053725723479713,-0.352217421378798,-1.13335220918921,0.28952772073922,0.5027814010633876,0.538309848559254
NULL_PATH_15,-0.2842320995459647,-1.0431802345191632,0.322265625,-1.0507382250392538,-0.9033644444014772,-0.284232099545965,-1.0600877984787,0.349802371541502,0.49178601676192446,0.45617725047799246
NULL_PATH_25,-0.33354896249556387,-1.0714606514624319,0.322265625,-1.0504572730516428,-0.9208903554658706,-0.333548962495564,-1.10034456098127,0.320408163265306,0.49178601676192446,0.49429642761928005
NULL_PATH_40,0.22166784142979656,1.0290322935122815,0.3544921875,1.028884723637918,0.8535803850401058,0.221667841429797,1.0315372473968,0.372631578947368,0.45039333160369943,0.42872034326306047
NULL_PATH_18,0.2694323328051605,1.0667781478682732,0.3544921875,1.0681770367584709,1.0818481513403522,0.26943233280516,1.04831721178203,0.37160751565762,0.45039333160369943,0.4299155111056693
NULL_PATH_0,0.2241298100761085,1.0577138868180427,0.37060546875,1.0570994638258453,0.9148050525399453,0.224129810076109,1.07218034431222,0.263713080168776,0.4310881764083128,0.5788683286660293
NULL_PATH_24,0.2635766217823892,1.101225183052122,0.37060546875,1.1203689991222354,1.063850506174649,0.263576621782389,1.09507611380402,0.276288659793814,0.4310881764083128,0.5586369402374567
NULL_PATH_52,-0.25708563144840585,-1.0421046580268676,0.378662109375,-1.0413768629187,-1.0917953070813673,-0.257085631448406,-1.04126832627494,0.375954198473282,0.4217481501541694,0.42486506082213427
NULL_PATH_49,0.23861749467132237,1.0345148991324153,0.427001953125,1.0495296096317217,1.168193062280852,0.238617494671322,1.02540673561558,0.383474576271186,0.3695701384890978,0.4162634237649038
NULL_PATH_12,0.22021520746296058,1.0053396898019564,0.443115234375,1.0059737840140464,0.6351882473521457,0.220215207462961,1.00786236361447,0.443064182194617,0.353483318595643,0.3535333574023213
NULL_PATH_73,0.20963818553169725,0.9986684716707913,0.443115234375,1.0062301718611926,0.6111325027685419,0.209638185531697,1.00662080931427,0.421383647798742,0.353483318595643,0.3753223216196252
NULL_PATH_20,-0.2928379290927946,-1.0182770122691678,0.46728515625,-1.0317428065375158,-0.6877076479073067,-0.292837929092794,-1.04550735343876,0.371031746031746,0.3304180145269496,0.43058892990902636
NULL_PATH_5,-0.26113501337903366,-0.9069205386536295,0.491455078125,-0.9099282525640664,-0.3808760269134692,-0.261135013379034,-0.905192232177554,0.610309278350516,0.3085161730791198,0.21445002754332473
NULL_PATH_53,-0.2546413999197347,-0.9872027555022381,0.507568359375,-1.0194887302623252,-0.8751057765808655,-0.254641399919735,-0.994365267157241,0.455769230769231,0.2945054586363052,0.3412549976246951
NULL_PATH_36,-0.20524374563255507,-0.9563926634806519,0.507568359375,-0.9512224118362417,-0.48918085951020435,-0.205243745632555,-0.94730896010191,0.608778625954199,0.2945054586363052,0.21554060392654517
NULL_PATH_79,0.2554501513072444,0.9394304613627577,0.5148514851485149,0.9285654074512838,0.5864243279646918,0.255450151307244,0.949630320800209,0.529058116232465,0.2883180301478434,0.2764966187535588
NULL_PATH_26,-0.20733022028370413,-0.991561336360994,0.515625,-1.0003984623957543,-0.735767961307556,-0.207330220283704,-0.994752849523418,0.457692307692308,0.28766603410599967,0.3394263865782869
NULL_PATH_63,0.24328895129941983,0.9834209732172019,0.53125,0.9975093923145405,0.8965693394851507,0.24328895129942,0.977700558381476,0.5,0.27470105694163205,0.3010299956639812
NULL_PATH_19,-0.2487687996844129,-0.9340515491601897,0.5625,-0.963856912495996,-0.569667417146218,-0.248768799684413,-0.944255794582986,0.552475247524753,0.2498774732165999,0.2576871748450634
NULL_PATH_64,-0.2046421631030027,-0.9517753708910945,0.609375,-0.9419537319029788,-0.46640146029796636,-0.204642163103003,-0.943030171997707,0.600378787878788,0.21511536695738798,0.2215746603160607
NULL_PATH_22,0.23346033881021472,0.8932973146024162,0.6237623762376238,0.8840978123461639,0.46816806759145135,0.233460338810215,0.897673990949556,0.656441717791411,0.20498082432906087,0.18280382671874817
NULL_PATH_13,-0.21152853532893884,-0.9337794199235556,0.625,-0.9023054089789363,-0.587033427501502,-0.211528535328939,-0.932852856694798,0.616279069767442,0.2041199826559248,0.2102225816427786
NULL_PATH_23,-0.3298943016639374,-0.9469903987116567,0.625,-0.9162862008257964,-0.3551021494433416,-0.329894301663937,-0.95715469643504,0.49079754601227,0.2041199826559248,0.3090976174120142
NULL_PATH_33,-0.2047982332712341,-0.9724695113944657,0.625,-0.9676755553815934,-0.4580460009848872,-0.204798233271234,-0.971480220525204,0.550476190476191,0.2041199826559248,0.2592614606494086
NULL_PATH_56,-0.19344584352966468,-0.9039376499224935,0.640625,-0.9136274700314798,-0.28516225861265737,-0.193445843529665,-0.904741147482834,0.728301886792453,0.19339611726415168,0.13768856492903397
NULL_PATH_74,0.18721229792831387,0.8815774341754329,0.640625,0.8807039583337296,0.20881223179089517,0.187212297928314,0.889386659603055,0.774530271398747,0.19339611726415168,0.11096160379951758
NULL_PATH_28,0.2144418192119826,0.933912659763346,0.65625,0.9445392135401073,0.8142942367113013,0.214441819211983,0.933979831233754,0.615866388308977,0.18293068358598671,0.21051349743640024
NULL_PATH_55,0.2169697988885587,0.9449222297821726,0.65625,0.920209771620079,0.8680405080543189,0.216969798888559,0.944990193113574,0.597077244258873,0.18293068358598671,0.22396948028551997
NULL_PATH_1,0.21140283309280142,0.8545311192744339,0.65625,0.8617022825888049,0.4578877330619775,0.211402833092802,0.84956043771952,0.768595041322314,0.18293068358598671,0.11430242176251497
NULL_PATH_43,-0.20208963064799385,-0.9211514467882449,0.671875,-0.9262967329342329,-0.31724336771245987,-0.202089630647994,-0.914753560588322,0.683111954459203,0.17271151840430066,0.16550811444525934
NULL_PATH_37,0.19238739674539876,0.904146840452364,0.6875,0.903300931110296,0.3595153662361963,0.192387396745399,0.905163010326211,0.720250521920668,0.16272729749769974,0.14251641834128917
NULL_PATH_39,0.1966961969120718,0.9014025333656671,0.6875,0.8926948038190977,0.303296285402125,0.196696196912072,0.907070085545265,0.697722567287785,0.16272729749769974,0.1563172298801733
NULL_PATH_72,0.19822516750954458,0.9115899534013101,0.6875,0.9001943650058765,0.3362218856243485,0.198225167509545,0.909691605996169,0.703157894736842,0.16272729749769974,0.15294714281330218
NULL_PATH_16,0.18966778950983365,0.9035340627212373,0.71875,0.8747166632133683,0.2753657483372956,0.189667789509834,0.910728850724426,0.708595387840671,0.1434221423023131,0.1496016787624591
NULL_PATH_78,0.1928002673309419,0.9195380570641565,0.734375,0.9235979923904085,0.4477770300077321,0.192800267330942,0.933392565548504,0.658947368421053,0.13408211604816972,0.18114927207841788
NULL_PATH_7,-0.18813663590611832,-0.904829681282019,0.734375,-0.9132424682785748,-0.43314811950856513,-0.188136635906118,-0.905644441501886,0.73921568627451,0.13408211604816972,0.1312288258921434
NULL_PATH_45,-0.21830262180966453,-0.9222378691064017,0.734375,-0.8970958289172575,-0.2737229066818897,-0.218302621809665,-0.913179746019485,0.64299424184261,0.13408211604816972,0.19179291626267947
NULL_PATH_3,-0.19644573827471923,-0.8734869943096213,0.75,-0.8758598416715725,-0.2619207109788628,-0.196445738274719,-0.876531046179399,0.762645914396887,0.12493873660829995,0.11767705197481858
NULL_PATH_68,0.20908572649608637,0.8443245123545582,0.75,0.872986121851025,0.45610782620718765,0.209085726496086,0.847182325320003,0.765560165975104,0.12493873660829995,0.11602067207978906
NULL_PATH_42,0.1885388651053107,0.8837929354094284,0.765625,0.890048945107486,0.309426304894391,0.188538865105311,0.885309702660476,0.770661157024794,0.11598389395537351,0.11313652983572453
NULL_PATH_54,-0.1958617089038687,-0.8646191996795325,0.78125,-0.8784281538052754,-0.35086524636249483,-0.195861708903868,-0.863761262204997,0.761627906976744,0.10720996964786837,0.11825715125178476
NULL_PATH_67,0.20412891850337872,0.8698083315524295,0.78125,0.8522259306633434,0.35282504796692515,0.204128918503379,0.867530638673269,0.769392033542977,0.10720996964786837,0.11385231478802453
NULL_PATH_32,-0.18586016137454578,-0.8792565363339004,0.78125,-0.9056670775679696,-0.19705487972458458,-0.185860161374546,-0.882165830559632,0.79047619047619,0.10720996964786837,0.10211120669386443
NULL_PATH_47,-0.18526753237890498,-0.8375319109122746,0.796875,-0.8536773718357775,-0.14391655098990086,-0.185267532378905,-0.840451945742769,0.855212355212355,0.09860979788595081,0.0679260335221636
NULL_PATH_8,0.18151581283270013,0.8508717444386574,0.796875,0.8333305658075234,0.21692936794245393,0.1815158128327,0.852332012274142,0.840909090909091,0.09860979788595081,0.07525095241919236
NULL_PATH_17,-0.27699397881635396,-0.7951354028153008,0.8125,-0.7709844235619377,-0.15881596122520697,-0.276993978816354,-0.803669800815124,0.766871165644172,0.09017663034908802,0.11527759139590125
NULL_PATH_14,-0.19680462970813542,-0.8596712859878615,0.8125,-0.8457210961064991,-0.40968777119128946,-0.196804629708135,-0.861521258801399,0.767485822306238,0.09017663034908802,0.11492963845799177
NULL_PATH_9,0.22057090977084862,0.8285669356551765,0.8217821782178217,0.8167121680477347,0.284718678097179,0.220570909770849,0.830724240251185,0.75,0.0852432814065687,0.12493873660829995
NULL_PATH_51,0.1716922017728922,0.8176628659729865,0.875,0.8381276768701096,0.1789658347498841,0.171692201772892,0.83327837309024,0.893081761006289,0.057991946977686754,0.04910877993739515
NULL_PATH_4,-0.18033347629512494,-0.7954127967088,0.921875,-0.8077428840804303,-0.18596050679341286,-0.180333476295125,-0.791816320558398,0.896946564885496,0.03532796234174298,0.0472334290480093
NULL_PATH_10,0.21558636819244914,0.714960178663097,0.9306930693069307,0.7104897893354604,0.09533588794300674,0.215586368192449,0.729236729124239,0.874751491053678,0.03119352018294389,0.05811530856973993
NULL_PATH_69,0.1697501024343972,0.8001559464435989,0.9504950495049505,0.8210692155146314,0.11092448414032335,0.169750102434397,0.798790964828639,0.939330543933054,0.02205014074307418,0.027181555608795867
NULL_PATH_41,-0.1745534910317135,-0.7727948420799594,0.953125,-0.759849593443127,-0.1267030640217014,-0.174553491031713,-0.765536198043108,0.935672514619883,0.020850138973120137,0.02887612773622908
NULL_PATH_6,0.20351158356510032,0.5762170798577423,0.96875,0.5815217909785795,-0.0,0.2035115835651,0.580936022698834,0.95703125,0.013788284485633297,0.019073880947317094
NULL_PATH_57,-0.17801947450498404,-0.743230565433492,0.96875,-0.7602465374409942,-0.05132041068684302,-0.178019474504984,-0.744706677176407,0.928030303030303,0.013788284485633297,0.03243784250529862
NULL_PATH_27,0.13672533086599908,0.6399009047685971,1.0,0.6428728345206782,0.006324437671053677,0.136725330865999,0.648780041748641,1.0,-0.0,-0.0
NULL_PATH_21,0.14445028493549514,0.6876557030420055,1.0,0.6793618319491178,0.007698339990145049,0.144450284935495,0.686810268784031,0.993657505285412,-0.0,0.002763282802094231
NULL_PATH_76,0.14618196747794296,0.6937389063588884,1.0,0.6872140074846713,0.008876752100750106,0.146181967477943,0.697219916416963,0.993788819875776,-0.0,0.0027058933759250793
