Pathway,ES,NES,P-value,log2err,Size,n_levels,padj,pval_capped,mode,window_start,window_cells,pt_mid
E2F Targets,-0.5567073772359222,-2.565985023373843,0.03862113972757719,0.09950371902099892,56,,0.2767848347143032,False,Full windows only,0,500,0.12135717272758484
heme Metabolism,-0.4445870950108959,-2.691268328115365,0.265869140625,0.125,75,,0.5196533203125,False,Full windows only,0,500,0.12135717272758484
E2F Targets,-0.5567347601321138,-2.566111237080356,0.05342590995648178,0.09950371902099892,56,,0.31978665865384615,False,Full windows only,50,500,0.17397071421146393
heme Metabolism,-0.44934377385421026,-2.7200624592579135,0.17724609375,0.125,75,,0.39840087890625,False,Full windows only,50,500,0.17397071421146393
E2F Targets,-0.5585618872646084,-2.5745328622455537,0.03604639707907205,0.09950371902099892,56,,0.30999901488001963,False,Full windows only,100,500,0.20416328310966492
heme Metabolism,-0.4387950753481922,-2.65620685366192,0.217529296875,0.125,75,,0.485009765625,False,Full windows only,100,500,0.20416328310966492
E2F Targets,-0.5483025112970247,-2.527245173670834,0.064453125,0.125,56,,0.346435546875,False,Full windows only,150,500,0.22713887691497803
heme Metabolism,-0.42723998656917334,-2.586259154305571,0.265869140625,0.125,75,,0.43970665564903844,False,Full windows only,150,500,0.22713887691497803
E2F Targets,-0.47947511091746886,-2.2100047601369366,0.217529296875,0.125,56,,0.56689453125,False,Full windows only,200,500,0.2497817575931549
heme Metabolism,-0.411389252308433,-2.4903081481427445,0.330322265625,0.125,75,,0.591827392578125,False,Full windows only,200,500,0.2497817575931549
E2F Targets,-0.38970462583399057,-1.7962331277060761,0.475341796875,0.125,56,,0.7048171470905172,False,Full windows only,250,500,0.2669384181499481
heme Metabolism,-0.4144771931142255,-2.5090007224054336,0.507568359375,0.125,75,,0.712594696969697,False,Full windows only,250,500,0.2669384181499481
heme Metabolism,-0.40368891952481173,-2.4436948704091646,0.410888671875,0.125,75,,0.6543782552083334,False,Full windows only,300,500,0.2868366613984108
E2F Targets,0.35713776590494783,1.9089160601458117,0.625,0.125,56,,0.7465277777777778,False,Full windows only,300,500,0.2868366613984108
E2F Targets,0.5029955420250372,2.6885318776645195,0.12890625,0.125,56,,0.6158854166666666,False,Full windows only,350,500,0.30818742513656616
heme Metabolism,-0.3688535206896276,-2.232821890436365,0.625,0.125,75,,0.7870535714285715,False,Full windows only,350,500,0.30818742513656616
E2F Targets,0.5122558574410289,2.7380286447588937,0.11279296875,0.125,56,,0.649566650390625,False,Full windows only,400,500,0.33176108449697495
heme Metabolism,0.3684969544479987,2.2533821087426813,0.578125,0.125,75,,0.77685546875,False,Full windows only,400,500,0.33176108449697495
E2F Targets,0.44826182355779215,2.3959778993730407,0.1611328125,0.125,56,,0.517226519240494,False,Full windows only,450,500,0.35515765100717545
heme Metabolism,0.359264962935701,2.1969278986039877,0.609375,0.125,75,,0.7706801470588235,False,Full windows only,450,500,0.35515765100717545
E2F Targets,0.4031511594104921,2.154859542549518,0.443115234375,0.125,56,,0.762158203125,False,Full windows only,500,500,0.3729858919978142
heme Metabolism,-0.3786874811074795,-2.2923508927612217,0.515625,0.125,75,,0.7645474137931034,False,Full windows only,500,500,0.3729858919978142
heme Metabolism,-0.4055910376753031,-2.455209172988337,0.2255859375,0.125,75,,0.5705997242647058,False,Full windows only,550,500,0.38665492832660675
E2F Targets,0.36633042269592364,1.9580511891043453,0.53125,0.125,56,,0.7585685483870968,False,Full windows only,550,500,0.38665492832660675
heme Metabolism,-0.44820579234163205,-2.7131737896650465,0.072509765625,0.125,75,,0.207861328125,False,Full windows only,600,500,0.4016467183828354
E2F Targets,-0.37890843119878603,-1.7464711254834544,0.4189453125,0.125,56,,0.7052437918526786,False,Full windows only,600,500,0.4016467183828354
E2F Targets,-0.45633412654797867,-2.103342945068019,0.08056640625,0.125,56,,0.254052734375,False,Full windows only,650,500,0.4135597497224808
heme Metabolism,-0.43611456223274603,-2.639980606585357,0.08795775253643315,0.09950371902099892,75,,0.254052734375,False,Full windows only,650,500,0.4135597497224808
E2F Targets,-0.591335115850267,-2.725591779653737,0.00019044180717807122,0.09950371902099892,56,,0.004094498854328531,False,Full windows only,700,500,0.4296189546585083
heme Metabolism,-0.5124045250889154,-3.1017950926375772,0.00359888107791174,0.09950371902099892,75,,0.02579198105836747,False,Full windows only,700,500,0.4296189546585083
E2F Targets,-0.6899902479512118,-3.180314676818998,4.63491283654824e-08,0.09950371902099892,56,,9.965062598578716e-07,False,Full windows only,750,500,0.4428880512714386
heme Metabolism,-0.5912707304748342,-3.579204633075459,3.652936196811698e-06,0.09950371902099892,75,,5.235875215430101e-05,False,Full windows only,750,500,0.4428880512714386
E2F Targets,-0.7996498760959657,-3.685759682569187,2.7076563573524812e-15,0.09950371902099892,56,,1.164292233661567e-13,False,Full windows only,800,500,0.45909422636032104
heme Metabolism,-0.6889558586482966,-4.170532844198379,4.1087345217332487e-11,0.09950371902099892,75,,5.889186147817657e-10,False,Full windows only,800,500,0.45909422636032104
E2F Targets,-0.8158317641720907,-3.760345513745719,2.323542389908501e-14,0.09950371902099892,56,,4.995616138303277e-13,False,Full windows only,850,500,0.4753958731889725
heme Metabolism,-0.7397261076866449,-4.477866018689394,2.4331548210331705e-12,0.09950371902099892,75,,3.487521910147545e-11,False,Full windows only,850,500,0.4753958731889725
E2F Targets,-0.8031848233611819,-3.7020530210659697,1.2686865161327724e-12,0.09950371902099892,56,,3.5822915272711194e-11,False,Full windows only,900,500,0.4949343651533127
heme Metabolism,-0.7504178931387561,-4.542587788352019,7.364489725458902e-12,0.09950371902099892,75,,1.0555768606491093e-10,False,Full windows only,900,500,0.4949343651533127
heme Metabolism,-0.7666292284475756,-4.640721660798351,2.9854374050912074e-12,0.09950371902099892,75,,1.2837380841892192e-10,False,Full windows only,950,500,0.5151735097169876
E2F Targets,-0.7307998232125636,-3.368414858732879,1.0807467534430783e-07,0.09950371902099892,56,,1.5490703466017457e-06,False,Full windows only,950,500,0.5151735097169876
heme Metabolism,-0.7679755208258613,-4.648871321638089,2.036444795864719e-12,0.09950371902099892,75,,8.756712622218292e-11,False,Full windows only,1000,500,0.5286438167095184
E2F Targets,-0.7310575327586156,-3.369602697914808,3.737092767763029e-08,0.09950371902099892,56,,5.356499633793675e-07,False,Full windows only,1000,500,0.5286438167095184
heme Metabolism,-0.7765829548614352,-4.700975655898432,1.0416584027195395e-12,0.09950371902099892,75,,4.47913113169402e-11,False,Full windows only,1050,500,0.5367359519004822
E2F Targets,-0.7289423600893075,-3.359853408407918,9.771135031129203e-08,0.09950371902099892,56,,1.4005293544618523e-06,False,Full windows only,1050,500,0.5367359519004822
heme Metabolism,-0.7504774438620435,-4.542948273344271,1.4199698045313395e-10,0.09950371902099892,75,,6.10587015948476e-09,False,Full windows only,1100,500,0.5427502393722534
E2F Targets,-0.7374094042957009,-3.3988798512291396,1.0067230032072511e-07,0.09950371902099892,56,,1.2413782914548237e-06,False,Full windows only,1100,500,0.5427502393722534
heme Metabolism,-0.7396357238997329,-4.477318888496409,6.691699890812218e-10,0.09950371902099892,75,,2.8774309530492535e-08,False,Full windows only,1150,500,0.5461302995681763
E2F Targets,-0.7354527380114146,-3.389861152022839,1.7005142309077508e-07,0.09950371902099892,56,,2.437403730967776e-06,False,Full windows only,1150,500,0.5461302995681763
heme Metabolism,-0.7281576389730071,-4.407837325092149,2.012369589531835e-09,0.09950371902099892,75,,4.326594617493445e-08,False,Full windows only,1200,500,0.5489873886108398
E2F Targets,-0.7238151744104699,-3.336221097786716,3.658002721861403e-07,0.09950371902099892,56,,5.243137234668011e-06,False,Full windows only,1200,500,0.5489873886108398
heme Metabolism,-0.7478461539430897,-4.527019994497589,1.563562256674958e-10,0.09950371902099892,75,,6.723317703702319e-09,False,Full windows only,1250,500,0.5523034036159515
E2F Targets,-0.7089375282775767,-3.2676468005506987,6.669337050938098e-07,0.09950371902099892,56,,9.559383106344608e-06,False,Full windows only,1250,500,0.5523034036159515
heme Metabolism,-0.731761132442223,-4.429650751422109,7.311301732554089e-10,0.09950371902099892,75,,3.143859744998258e-08,False,Full windows only,1300,500,0.5546554028987885
E2F Targets,-0.6778961270104686,-3.1245702507995317,1.220417858237647e-05,0.09950371902099892,56,,0.0001749265596807294,False,Full windows only,1300,500,0.5546554028987885
heme Metabolism,-0.7229559139476036,-4.376349146578802,3.1104631819066874e-09,0.09950371902099892,75,,1.3374991682198756e-07,False,Full windows only,1350,500,0.5566225349903107
E2F Targets,-0.6539666170086672,-3.014273950099935,7.418341399836036e-05,0.09950371902099892,56,,0.0007974717004823739,False,Full windows only,1350,500,0.5566225349903107
heme Metabolism,-0.692640825548441,-4.192839462676068,5.9057760336663067e-08,0.09950371902099892,75,,2.539483694476512e-06,False,Full windows only,1400,500,0.5581084489822388
E2F Targets,-0.6505556928005107,-2.998552260767473,3.5377898754993615e-05,0.09950371902099892,56,,0.00038031241161618135,False,Full windows only,1400,500,0.5581084489822388
heme Metabolism,-0.6677474463387426,-4.042149611804025,6.669337050938098e-07,0.09950371902099892,75,,1.4339074659516912e-05,False,Full windows only,1450,500,0.5599653124809265
E2F Targets,-0.6461853836072116,-2.978408557996374,0.00016051523747866002,0.09950371902099892,56,,0.0017255388028955953,False,Full windows only,1450,500,0.5599653124809265
heme Metabolism,-0.6439082082292675,-3.897840910066161,4.912142477194141e-06,0.09950371902099892,75,,7.040737550644936e-05,False,Full windows only,1500,500,0.5617309510707855
E2F Targets,-0.6407016195820655,-2.9531327004532146,6.520632319547844e-05,0.09950371902099892,56,,0.0007009679743513932,False,Full windows only,1500,500,0.5617309510707855
heme Metabolism,-0.596645208653739,-3.611738557396135,0.00011539642177522723,0.09950371902099892,75,,0.001654015378778257,False,Full windows only,1550,500,0.5631703436374664
E2F Targets,-0.6257468333783872,-2.884202847903166,0.0001986035989142743,0.09950371902099892,56,,0.0021349886883284485,False,Full windows only,1550,500,0.5631703436374664
E2F Targets,-0.5993124148940301,-2.7623608808194215,0.0008322642733664714,0.09950371902099892,56,,0.011929121251586091,False,Full windows only,1600,500,0.5647328495979309
heme Metabolism,-0.5443288593547229,-3.2950462028697127,0.001479162496908233,0.09950371902099892,75,,0.015900996841763507,False,Full windows only,1600,500,0.5647328495979309
heme Metabolism,-0.5327783344881698,-3.225126130750432,0.008056640625,0.125,75,,0.049401249736725016,False,Full windows only,1650,500,0.5664665699005127
E2F Targets,-0.5177516312842148,-2.3864295427499953,0.01033979645652384,0.09950371902099892,56,,0.049401249736725016,False,Full windows only,1650,500,0.5664665699005127
heme Metabolism,-0.515687559574147,-3.1216686490888677,0.002845626898813934,0.09950371902099892,75,,0.04078731888299972,False,Full windows only,1700,500,0.5678294897079468
E2F Targets,-0.4984307328875255,-2.2973753323132935,0.01950176362481621,0.09950371902099892,56,,0.0947280110886906,False,Full windows only,1700,500,0.5678294897079468
heme Metabolism,-0.495853799764349,-3.001606753000209,0.0065470752669078355,0.09950371902099892,75,,0.08660888671875,False,Full windows only,1750,500,0.569091409444809
E2F Targets,-0.5050110664760253,-2.3277055167644667,0.011816910236027245,0.09950371902099892,56,,0.08660888671875,False,Full windows only,1750,500,0.569091409444809
heme Metabolism,-0.450515437607756,-2.7271550212924485,0.01611328125,0.125,75,,0.09084571555226886,False,Full windows only,1800,500,0.5705638825893402
E2F Targets,-0.4936440947567866,-2.2753126791888296,0.040283203125,0.125,56,,0.1732177734375,False,Full windows only,1800,500,0.5705638825893402
heme Metabolism,-0.42789687171144175,-2.5902355499284653,0.024169921875,0.125,75,,0.14847237723214285,False,Full windows only,1850,500,0.5717684328556061
E2F Targets,-0.4215333324064072,-1.94293853833614,0.10962850316135145,0.09950371902099892,56,,0.31426837572920746,False,Full windows only,1850,500,0.5717684328556061
heme Metabolism,-0.38575348687627664,-2.3351243284844925,0.185302734375,0.125,75,,0.41936934621710525,False,Full windows only,1900,500,0.5731644928455353
E2F Targets,-0.33274047093426806,-1.5336729851270927,0.546875,0.125,56,,0.73486328125,False,Full windows only,1900,500,0.5731644928455353
heme Metabolism,-0.42095460443837107,-2.548211154153169,0.08056640625,0.125,75,,0.31494140625,False,Full windows only,1950,500,0.5746062397956848
E2F Targets,0.39465153076291604,2.109428677545586,0.217529296875,0.125,56,,0.4251708984375,False,Full windows only,1950,500,0.5746062397956848
E2F Targets,0.45795766958058803,2.4478025954891662,0.0322265625,0.125,56,,0.23095703125,False,Full windows only,2000,500,0.5761491060256958
heme Metabolism,-0.39339152347768597,-2.381360501835082,0.185302734375,0.125,75,,0.48908547794117646,False,Full windows only,2000,500,0.5761491060256958
E2F Targets,0.49052761621281793,2.621890300962754,0.024169921875,0.125,56,,0.115478515625,False,Full windows only,2050,500,0.5776974558830261
heme Metabolism,-0.4081944737717458,-2.4709688412046558,0.11279296875,0.125,75,,0.3320466543272307,False,Full windows only,2050,500,0.5776974558830261
E2F Targets,0.5431370166846583,2.903089712122388,0.006215577785039084,0.09950371902099892,56,,0.08660888671875,False,Full windows only,2100,500,0.579297661781311
heme Metabolism,-0.3912275709048859,-2.368261207932775,0.1611328125,0.125,75,,0.4075712316176471,False,Full windows only,2100,500,0.579297661781311
E2F Targets,0.6041007890671475,3.228943585047663,0.0002855560206790521,0.09950371902099892,56,,0.006139454444599619,False,Full windows only,2150,500,0.5810025930404663
heme Metabolism,-0.3925382931530221,-2.376195548162058,0.11279296875,0.125,75,,0.3558149511647567,False,Full windows only,2150,500,0.5810025930404663
E2F Targets,0.5970544562861027,3.1912806462744827,0.00034482236459357235,0.09950371902099892,56,,0.007413680838761805,False,Full windows only,2200,500,0.5825174152851105
heme Metabolism,-0.41757935305484783,-2.527779370932649,0.056396484375,0.125,75,,0.220458984375,False,Full windows only,2200,500,0.5825174152851105
E2F Targets,0.645554228311905,3.4505139242194014,2.6270716897272466e-05,0.09950371902099892,56,,0.001129640826582716,False,Full windows only,2250,500,0.5839657187461853
heme Metabolism,-0.40650997079199835,-2.4607718526530666,0.1611328125,0.125,75,,0.346435546875,False,Full windows only,2250,500,0.5839657187461853
E2F Targets,0.6978730596601893,3.7301602314525075,2.9319210877719843e-07,0.09950371902099892,56,,1.2607260677419532e-05,False,Full windows only,2300,500,0.5856091380119324
heme Metabolism,-0.3783708874177988,-2.2904344210968834,0.193359375,0.125,75,,0.42892020089285715,False,Full windows only,2300,500,0.5856091380119324
E2F Targets,0.692569225527547,3.7018110196840572,1.9937063396849497e-07,0.09950371902099892,56,,8.572937260645284e-06,False,Full windows only,2350,500,0.5870604515075684
heme Metabolism,0.36035697329257654,2.203605610783268,0.185302734375,0.125,75,,0.37942940848214285,False,Full windows only,2350,500,0.5870604515075684
E2F Targets,0.6999990093119878,3.741523519854943,1.3472322542920565e-07,0.09950371902099892,56,,2.8965493467279217e-06,False,Full windows only,2400,500,0.5891483724117279
heme Metabolism,0.38843825316645164,2.3753244076269895,0.08056640625,0.125,75,,0.23095703125,False,Full windows only,2400,500,0.5891483724117279
E2F Targets,0.7106052433731613,3.798214277511831,1.9643871288072299e-07,0.09950371902099892,56,,4.223432326935544e-06,False,Full windows only,2450,500,0.5908327996730804
heme Metabolism,0.4295721501234002,2.626860780850213,0.0322265625,0.125,75,,0.13857421875,False,Full windows only,2450,500,0.5908327996730804
E2F Targets,0.7380264359376313,3.9447816805475524,1.181786911857857e-08,0.09950371902099892,56,,2.5408418604943925e-07,False,Full windows only,2500,500,0.5925779640674591
heme Metabolism,0.46075575917439987,2.8175505162017846,0.024169921875,0.125,75,,0.1039306640625,False,Full windows only,2500,500,0.5925779640674591
E2F Targets,0.769427163776408,4.11261986343987,4.067287337374867e-10,0.09950371902099892,56,,8.744667775355963e-09,False,Full windows only,2550,500,0.5945082902908325
heme Metabolism,0.5057393379301399,3.0926279363320135,0.01611328125,0.125,75,,0.07698567708333333,False,Full windows only,2550,500,0.5945082902908325
E2F Targets,0.7784335471759208,4.160759353453191,1.8957957733994067e-10,0.09950371902099892,56,,4.075960912808724e-09,False,Full windows only,2600,500,0.5964472591876984
heme Metabolism,0.45412204234907144,2.776984919584975,0.088623046875,0.125,75,,0.2931377704326923,False,Full windows only,2600,500,0.5964472591876984
E2F Targets,0.7878772128824335,4.2112361353979155,7.492398245513572e-11,0.09950371902099892,56,,1.610865622785418e-09,False,Full windows only,2650,500,0.5988590717315674
heme Metabolism,0.46142931957332867,2.8216693805065853,0.024052175137273327,0.09950371902099892,75,,0.115478515625,False,Full windows only,2650,500,0.5988590717315674
E2F Targets,0.7834829875284192,4.187748819994788,6.443859154115468e-10,0.09950371902099892,56,,1.3854297181348257e-08,False,Full windows only,2700,500,0.6020173728466034
heme Metabolism,0.4685186108466382,2.8650208435949884,0.008056640625,0.125,75,,0.043304443359375,False,Full windows only,2700,500,0.6020173728466034
E2F Targets,0.7975272332818126,4.262815891670492,2.1560686104144795e-11,0.09950371902099892,56,,4.635547512391131e-10,False,Full windows only,2750,500,0.6044897437095642
heme Metabolism,0.5066958014410654,3.09847677100261,0.004972462228031267,0.09950371902099892,75,,0.03054512511504921,False,Full windows only,2750,500,0.6044897437095642
E2F Targets,0.8131971087090609,4.346572020871119,3.1425656895696923e-12,0.09950371902099892,56,,6.756516232574838e-11,False,Full windows only,2800,500,0.607338160276413
heme Metabolism,0.5473294252180099,3.346953942189839,0.008056640625,0.125,75,,0.043304443359375,False,Full windows only,2800,500,0.607338160276413
E2F Targets,0.8188424542712298,4.376746625288523,1.824866115774878e-12,0.09950371902099892,56,,3.923462148915988e-11,False,Full windows only,2850,500,0.6109472811222076
heme Metabolism,0.5727765831013727,3.5025649169904787,0.0007682439446459735,0.09950371902099892,75,,0.006606897923955373,False,Full windows only,2850,500,0.6109472811222076
E2F Targets,0.8186776154612276,4.375865555063561,1.9571027908310287e-12,0.09950371902099892,56,,4.207771000286712e-11,False,Full windows only,2900,500,0.6162081658840179
heme Metabolism,0.5965376140714274,3.6478651194125256,0.008056640625,0.125,75,,0.04949079241071429,False,Full windows only,2900,500,0.6162081658840179
E2F Targets,0.8167402762324424,4.365510397136177,5.2899855774423106e-12,0.09950371902099892,56,,1.1373468991500967e-10,False,Full windows only,2950,500,0.6229340434074402
heme Metabolism,0.5899294691891344,3.6074558968395887,0.00029633171957260126,0.09950371902099892,75,,0.0031855659854054634,False,Full windows only,2950,500,0.6229340434074402
E2F Targets,0.7910949252563144,4.228434940491707,4.3175819427517817e-10,0.09950371902099892,56,,9.282801176916331e-09,False,Full windows only,3000,500,0.643031120300293
heme Metabolism,0.720109113592472,4.4035126296839335,1.0674204365167741e-08,0.09950371902099892,75,,1.5299692923407095e-07,False,Full windows only,3000,500,0.643031120300293
heme Metabolism,0.802282479365293,4.906007942094375,4.787820609605809e-13,0.09950371902099892,75,,2.0587628621304978e-11,False,Full windows only,3050,500,0.6909124255180359
E2F Targets,0.7332167164988757,3.919073532157892,2.3748560810953078e-07,0.09950371902099892,56,,3.4039603829032742e-06,False,Full windows only,3050,500,0.6909124255180359
E2F Targets,-0.5567073772359222,-2.565985023373843,0.03862113972757719,0.09950371902099892,56,,0.2767848347143032,False,Terminal truncation audit,0,500,0.12135717272758484
heme Metabolism,-0.4445870950108959,-2.691268328115365,0.265869140625,0.125,75,,0.5196533203125,False,Terminal truncation audit,0,500,0.12135717272758484
E2F Targets,-0.5567347601321138,-2.566111237080356,0.05342590995648178,0.09950371902099892,56,,0.31978665865384615,False,Terminal truncation audit,50,500,0.17397071421146393
heme Metabolism,-0.44934377385421026,-2.7200624592579135,0.17724609375,0.125,75,,0.39840087890625,False,Terminal truncation audit,50,500,0.17397071421146393
E2F Targets,-0.5585618872646084,-2.5745328622455537,0.03604639707907205,0.09950371902099892,56,,0.30999901488001963,False,Terminal truncation audit,100,500,0.20416328310966492
heme Metabolism,-0.4387950753481922,-2.65620685366192,0.217529296875,0.125,75,,0.485009765625,False,Terminal truncation audit,100,500,0.20416328310966492
E2F Targets,-0.5483025112970247,-2.527245173670834,0.064453125,0.125,56,,0.346435546875,False,Terminal truncation audit,150,500,0.22713887691497803
heme Metabolism,-0.42723998656917334,-2.586259154305571,0.265869140625,0.125,75,,0.43970665564903844,False,Terminal truncation audit,150,500,0.22713887691497803
E2F Targets,-0.47947511091746886,-2.2100047601369366,0.217529296875,0.125,56,,0.56689453125,False,Terminal truncation audit,200,500,0.2497817575931549
